ts,secs_from_entry,event_type,price,lc_state,aligned_score,velocity,cur_ret,peak_pnl,drawdown,exit_reason,extra
1775195484.193,0.0,entry,0.04196,,0.0,0.0,0.0,0.0,0.0,,score=+1.284 vol=0.2000%
1775195543.448,59.3,rank_snapshot,0.04188,REVERSAL,-0.4632,-0.4369,0.0,0.0,0.0,,unified=-0.463 held=59s
1775195543.448,59.3,lifecycle_change,0.04188,REVERSAL,-0.4632,-0.4369,-0.00191,0.0,0.0,,BUILD->REVERSAL
1775195603.698,119.5,rank_snapshot,0.042,BUILD,1.8474,0.24999,0.0,0.0,0.0,,unified=+1.847 held=119s
1775195603.698,119.5,lifecycle_change,0.042,BUILD,1.8474,0.24999,0.00095,0.0,0.0,,REVERSAL->BUILD
1775195663.884,179.7,rank_snapshot,0.04195,BUILD,-0.1232,-0.30516,0.0,0.0,0.0,,unified=-0.123 held=180s
1775195725.066,240.9,rank_snapshot,0.04193,BUILD,0.4314,-0.09023,0.0,0.0,0.0,,unified=+0.431 held=240s
1775195784.77,300.6,rank_snapshot,0.04189,BUILD,-0.1817,-0.22093,0.0,0.0,0.0,,unified=-0.182 held=301s
1775195845.5,361.3,rank_snapshot,0.04191,EXPANSION,1.1492,0.16702,0.0,0.0,0.0,,unified=+1.149 held=361s
1775195845.5,361.3,lifecycle_change,0.04191,EXPANSION,1.1492,0.16702,-0.00119,0.0,0.0,,BUILD->EXPANSION
1775195906.207,422.0,rank_snapshot,0.04195,EXPANSION,0.8335,0.04633,0.0,0.0,0.0,,unified=+0.833 held=422s
1775195966.951,482.8,rank_snapshot,0.0419,REVERSAL,-0.7461,-0.36015,0.0,0.0,0.0,,unified=-0.746 held=483s
1775195966.952,482.8,lifecycle_change,0.0419,REVERSAL,-0.7461,-0.36015,-0.00143,0.0,0.0,,EXPANSION->REVERSAL
1775195967.431,483.2,exit,0.0419,REVERSAL,-0.7461,-0.36015,-0.00143,0.0,0.00333,lifecycle_reversal,
