ts,secs_from_entry,event_type,price,lc_state,aligned_score,velocity,cur_ret,peak_pnl,drawdown,exit_reason,extra
1775185201.83,0.0,entry,0.8858,,0.0,0.0,0.0,0.0,0.0,,score=-1.031 vol=0.2000%
1775185257.645,55.8,rank_snapshot,0.8867,EXPANSION,1.1997,-0.04207,0.0,0.0,0.0,,unified=-1.200 held=56s
1775185257.645,55.8,lifecycle_change,0.8867,EXPANSION,1.1997,-0.04207,-0.00102,0.0,0.0,,BUILD->EXPANSION
1775185318.868,117.0,rank_snapshot,0.8847,EXPANSION,0.177,0.22412,0.0,0.0,0.0,,unified=-0.177 held=117s
1775185379.156,177.3,rank_snapshot,0.8854,DECAY,0.6978,0.0379,0.0,0.0,0.0,,unified=-0.698 held=177s
1775185379.156,177.3,lifecycle_change,0.8854,DECAY,0.6978,0.0379,0.00045,0.0,0.0,,EXPANSION->DECAY
1775185438.878,237.0,rank_snapshot,0.8859,DECAY,-0.0483,0.21494,0.0,0.0,0.0,,unified=+0.048 held=237s
1775185499.723,297.9,rank_snapshot,0.8856,REVERSAL,-0.1367,0.18331,0.0,0.0,0.0,,unified=+0.137 held=298s
1775185499.725,297.9,lifecycle_change,0.8856,REVERSAL,-0.1367,0.18331,0.00023,0.0,0.0,,DECAY->REVERSAL
1775185500.294,298.5,exit,0.8856,REVERSAL,-0.1367,0.18331,0.00023,0.0,0.00181,lifecycle_reversal,
